[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 << "[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 << "{"sessionId":"3882ed46aa31b8789620a970439fec5f","status":0,"value":null}"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 << HTTP/1.1 200 OK
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 << Content-Length:72
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 << Content-Type:application/json; charset=utf-8
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 << Connection:close
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-1481: Shutdown connection
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection discarded
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-1481: Close connection
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 1481][route: {}->http://localhost:17746][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[Forwarding findElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
[Forwarding findElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
[Forwarding findElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:17746][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[Forwarding findElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 1482][route: {}->http://localhost:17746][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[Forwarding findElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://localhost:17746
